name,phone,fsa,ai_reputation_score,bbb_rating,reviews_source,website
Anaconda Plumbing,,B0P,70.0,,,
Tidal Mechanical Ltd,,B3T,70.0,,,
Tidal Mechanical Plumbing & Heating Services Ltd,,B3T,70.0,,,
Hardy Plumbing & Gas,,,70.0,,,
Luke's Plumbing and Heating Services,,B0P,70.0,,,
CA Smith Mechanical Ltd,,B2G,70.0,,,
Mr. Rooter Plumbing of Halifax,,B3T,70.0,,,
Haley J L Plumbing & Heating Ltd,,B2G,70.0,,,
Euro Plumbing & Heating,,B3T,70.0,,,
Brown & Smith Contractors Ltd,,B4P,70.0,,,
Annapolis Valley Plumbing & Heating Limited,,B4P,70.0,,,
Bill's Plumbing & Heating Service,,B4P,70.0,,,
Malcolm Stevens Plumbing and Heating,,B4N,70.0,,,
A L A Plumb-Rite,,B4P,70.0,,,
Chapman George B Plumbing & Heating,,B4H,70.0,,,
Mason's Plumbing and Heating,,B0J,70.0,,,
Adam Baltzer Plumbing & Heating,,B0P,70.0,,,
Wade Murphy Plumbing,,B0H,70.0,,,
David Carey Plumbing & Heating,,B4N,70.0,,,
Martell Mechanical,,,70.0,,,
Absolute Plumbing & Heating,,B4N,70.0,,,
Valley Burner Service,,B0P,70.0,,,
Keith Pulsifer's Plumbing & Heating,,,70.0,,,
Response Plumber,,B0P,70.0,,,
Ron Martin's Plumbing Heating & Electrical,,B4N,70.0,,,
Willow Renovations,,B4N,70.0,,,
Kings Plumbing & Heating,,,70.0,,,
GC Baxter Plumbing & Heating,,B0P,70.0,,,
K P's Plumbing & Heating,,B0P,70.0,,,
Carty's Plumbing & Heating Ltd,,B0P,70.0,,,
Baker Dave Plumbing & Heating,,,70.0,,,
Toshi Imai Plumbing And Heating Ltd,,,70.0,,,
Dale Smith's Plumbing & Heating,,B0P,70.0,,,
Jordan's Plumbing & Heating,,B0P,70.0,,,
Jason T. Greek Plumbing & Heating,,B0R,70.0,,,
No Problem Plumbing & Electrical,,B0J,70.0,,,
Conrads Pro Plumbing Heating Ltd,,B4V,70.0,,,
JBM Plumbing & Heating Ltd,,B4V,70.0,,,
Langille's Plumbing & Heating Ltd,,B4V,70.0,,,
Mr Plumber,,B4V,70.0,,,
Economical Plumbing Repairs,,B4V,70.0,,,
Rafuse G A Plumbing & Heating,,B4V,70.0,,,
Rafuse G A Plumbing & Heating,,B4V,70.0,,,
Langille's Peter Plumbing & Heating Ltd,,B4V,70.0,,,
Tapped In Plumbing & Heating,,B0R,70.0,,,
Rafuse Mechanical,,B0P,70.0,,,
Mike Hoogerwerf Plumbing & Heating,,B0S,70.0,,,
David Baker Plumbing & Heating,,B0P,70.0,,,
Marshall Wayne Plumbing & Heating Ltd,,B0S,70.0,,,
Kevin Bushen Plumbing & Heating,,B4V,70.0,,,
Scott Parks Plumbing Services,,,70.0,,,
Brian Bollivar Plumbing & Heating,,B4V,70.0,,,
Landry Brothers Home Hardware,,B0E,70.0,,,
